Date: 2025-04-23 19:26:09s, Time_Cost: 1076s, Epoch: [1/250], Train_PSNR: -0.78, Val_PSNR: 11.16, Val_SSIM: 0.0047
Date: 2025-04-23 19:44:12s, Time_Cost: 1083s, Epoch: [2/250], Train_PSNR: -0.81, Val_PSNR: 11.16, Val_SSIM: 0.0047
Date: 2025-04-23 20:02:34s, Time_Cost: 1101s, Epoch: [3/250], Train_PSNR: -0.81, Val_PSNR: 11.16, Val_SSIM: 0.0047
Date: 2025-04-23 20:43:38s, Time_Cost: 998s, Epoch: [1/250], Train_PSNR: -0.43, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-23 21:00:09s, Time_Cost: 992s, Epoch: [2/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-23 21:16:45s, Time_Cost: 996s, Epoch: [3/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-23 21:33:18s, Time_Cost: 993s, Epoch: [4/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-23 21:49:58s, Time_Cost: 1000s, Epoch: [5/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-23 22:06:33s, Time_Cost: 995s, Epoch: [6/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-23 22:23:09s, Time_Cost: 996s, Epoch: [7/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-23 22:39:42s, Time_Cost: 993s, Epoch: [8/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-23 22:56:16s, Time_Cost: 995s, Epoch: [9/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-23 23:12:50s, Time_Cost: 993s, Epoch: [10/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-23 23:29:28s, Time_Cost: 998s, Epoch: [11/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
